Column,id,title,publication,date
53369,73564,Will Mike Pence Be Trump’s Bridge to Democrats?,Atlantic,2017-01-15T00:00:00Z
53410,73614,The GOP’s Favorite Democrat Goes to Syria,Atlantic,2017-01-18T00:00:00Z
53560,73814,House Republicans and Democrats Represent Divergent Americas,Atlantic,2017-01-29T00:00:00Z
53601,73866,Are Trump’s Generals Mounting a Defense of Democratic Institutions?,Atlantic,2017-01-31T00:00:00Z
53616,73881,How Progressives Are Forcing Senate Democrats Into Action,Atlantic,2017-02-01T00:00:00Z
53693,73988,The Atlantic  Politics & Policy Daily: Senate Democrats Stay Up Late on a School Night,Atlantic,2017-02-06T00:00:00Z
53877,74215,Democrats Want Answers on Trump Officials’ Ties to Russia,Atlantic,2017-02-15T00:00:00Z
54032,74416,Can the Democratic Party Win Back Voters It Lost to Trump? ,Atlantic,2017-02-23T00:00:00Z
54062,74450,The Democrats Have Their Chairman,Atlantic,2017-02-25T00:00:00Z
54088,74510,Why the Battle for Leadership of the Democratic Party Mattered,Atlantic,2017-02-27T00:00:00Z
54119,74541,Trump’s Budget Proposal Threatens Democratic and Republican Ambitions,Atlantic,2017-02-28T00:00:00Z
54201,74625,Can Millennials Save the Democratic Party?,Atlantic,2017-03-04T00:00:00Z
54492,74996,Why Are Democrats Holding Back on Gorsuch?,Atlantic,2017-03-20T00:00:00Z
54692,75265,Democrats Go to War Over Neil Gorsuch,Atlantic,2017-03-30T00:00:00Z
54837,75448,Trump’s Support From Democrats on Syria,Atlantic,2017-04-07T00:00:00Z
54978,75646,The Districts Where Democrats Might Find the Next Georgia 6,Atlantic,2017-04-18T00:00:00Z
55026,75697,Rifts Over Abortion and Economic Populism Threaten to Divide Democrats ,Atlantic,2017-04-20T00:00:00Z
55103,75805,How Democrats Learned to Love Trump’s Negotiating Style ,Atlantic,2017-04-26T00:00:00Z
55116,75818,Is There Any Room in the ’Big Tent’ for Pro-Life Democrats?,Atlantic,2017-04-27T00:00:00Z
55156,75859,Will Democrats Shut Down the Government Over Obamacare?,Atlantic,2017-04-27T00:00:00Z
55183,75896,Why Do So Many Americans Think Democrats Are Out of Touch?,Atlantic,2017-04-29T00:00:00Z
55188,75911,The Governor’s Race on Track to Give Democrats a Decisive Victory,Atlantic,2017-06-06T00:00:00Z
55215,75938,What If Bernie Sanders Is the Democrats’ Best Bet?,Atlantic,2016-01-11T00:00:00Z
