Column,id,title,publication,date
53518,73750,Trump’s Detail-Free First Pitch to Republicans,Atlantic,2017-01-26T00:00:00Z
53539,73781,Do Deficits Still Matter to Republicans?,Atlantic,2017-01-28T00:00:00Z
53560,73814,House Republicans and Democrats Represent Divergent Americas,Atlantic,2017-01-29T00:00:00Z
53607,73872,Cracks Appear in the Trump-Republican Alliance,Atlantic,2017-01-31T00:00:00Z
53737,74035,"The Republican Carbon Tax Is Republican, Say Republicans",Atlantic,2017-02-08T00:00:00Z
53753,74051,Republicans Don’t Know How or When to Repeal Obamacare,Atlantic,2017-02-08T00:00:00Z
53825,74163,The Federal Voting Agency Republicans Want to Kill,Atlantic,2017-02-13T00:00:00Z
53857,74195,Republicans’ Muted Response to Flynn’s Resignation ,Atlantic,2017-02-14T00:00:00Z
53882,74221,What Happens Next Is Up to Republicans,Atlantic,2017-02-15T00:00:00Z
53945,74287,Republicans’ New Plan to Gut Public Insurance,Atlantic,2017-02-18T00:00:00Z
53998,74381,Republican Voters Trust Trump More Than GOP Leaders in Congress,Atlantic,2017-02-22T00:00:00Z
54019,74402,Republican Lawmakers Face Hostile Town-Hall Crowds,Atlantic,2017-02-23T00:00:00Z
54060,74448,Kansas Republicans Sour on Their Tax-Cut Experiment,Atlantic,2017-02-24T00:00:00Z
54119,74541,Trump’s Budget Proposal Threatens Democratic and Republican Ambitions,Atlantic,2017-02-28T00:00:00Z
54158,74582,The Cloak-and-Dagger Republican Obamacare Repeal Operation,Atlantic,2017-03-02T00:00:00Z
54168,74592,Republican Lawmakers Call for Sessions to Recuse Himself,Atlantic,2017-03-02T00:00:00Z
54235,74691,Can Trump Save the Republican Health-Care Bill?,Atlantic,2017-03-07T00:00:00Z
54259,74715,The People Helped by the Republican Health-Care Bill,Atlantic,2017-03-07T00:00:00Z
54347,74838,How Republicans Can Win By Making Their Peace With Obamacare,Atlantic,2017-03-13T00:00:00Z
54403,74894,The House Republicans Calling for Climate Action in the Trump Era,Atlantic,2017-03-15T00:00:00Z
54415,74906,Conservatives Get Their Shot to Change the Republican Health-Care Bill,Atlantic,2017-03-16T00:00:00Z
54531,75035,Conservatives Threaten to Sink Republican Health-Care Bill,Atlantic,2017-03-22T00:00:00Z
54577,75081,Republicans Can’t Find the Votes for Their Health-Care Bill,Atlantic,2017-03-23T00:00:00Z
54583,75088,Who Will Republican Voters Blame for the Failure of the GOP Health-Care Bill?,Atlantic,2017-03-24T00:00:00Z
54584,75089,The Republican Waterloo,Atlantic,2017-03-24T00:00:00Z
54586,75091,The Republicans Fold on Health Care,Atlantic,2017-03-24T00:00:00Z
54614,75158,It Doesn’t Get Any Easier for Republicans Now,Atlantic,2017-03-28T00:00:00Z
54621,75165,The Closing of the Republican Mind on For-Profit Colleges,Atlantic,2017-03-27T00:00:00Z
54642,75188,Why Do So Many Republicans Believe Trump’s Wiretap Claims? ,Atlantic,2017-03-29T00:00:00Z
54700,75274,Why One Powerful Republican Doubts Trump’s Climate Policy,Atlantic,2017-03-31T00:00:00Z
54715,75289,The Republican Majority in Congress Is an Illusion,Atlantic,2017-03-31T00:00:00Z
54722,75296,The Republican Identity Crisis ,Atlantic,2017-04-01T00:00:00Z
54799,75410,Will Republican Hawks Convince Trump to Take a Tougher Line on Syria? ,Atlantic,2017-04-06T00:00:00Z
54802,75413,Republicans Abandon the Filibuster to Save Neil Gorsuch,Atlantic,2017-04-06T00:00:00Z
54869,75504,The Kansas House Race Giving Republicans the Jitters,Atlantic,2017-04-11T00:00:00Z
54916,75561,Republicans Stave Off a Kansas Shocker,Atlantic,2017-04-11T00:00:00Z
55017,75685,The Georgia Republican Who Succeeded by Keeping Her Distance From Trump,Atlantic,2017-04-19T00:00:00Z
55125,75827,Moderates Can Now Sink or Save the Republican Health-Care Bill,Atlantic,2017-04-26T00:00:00Z
55262,76003,"Watching the Benghazi Film, 13 Hours, With a Republican Crowd",Atlantic,2016-01-17T00:00:00Z
55289,76068,The Limits of the Republicans’ Immigration Debate,Atlantic,2016-01-29T00:00:00Z
55297,76076,The Republican Conflation of Immigration and ISIS,Atlantic,2016-01-29T00:00:00Z
55378,76213,The Republican Party’s Internecine Fights Spill Into the Open,Atlantic,2016-02-14T00:00:00Z
55407,76273,Republicans Won’t Even Fake It,Atlantic,2016-02-24T00:00:00Z
55413,76279,How a Florida Republican Challenged the Gun Lobby,Atlantic,2016-02-24T00:00:00Z
55421,76308,Can Democrats Get Republicans to Move on Scalia’s Replacement?,Atlantic,2016-02-25T00:00:00Z
55423,76310,Will Republicans Target Trump in Texas?,Atlantic,2016-02-25T00:00:00Z
55469,76356,Can Trump Divide and Conquer the Republican Establishment?,Atlantic,2016-02-29T00:00:00Z
55581,76541,How Donald Trump Could End the Republican Lock on the Mormon Vote,Atlantic,2016-03-22T00:00:00Z
55697,76683,How the Republican Race Could End,Atlantic,2016-04-07T00:00:00Z
56083,77164,Where Republicans Stand on Donald Trump: A Cheat Sheet,Atlantic,2016-05-06T00:00:00Z
56091,77172,Can Donald Trump Unite the Republican Party? ,Atlantic,2016-05-06T00:00:00Z
56177,77285,A Republican Truce in the Making?,Atlantic,2016-05-12T00:00:00Z
56211,77320,​How Republicans Finally Got a Victory on Obamacare,Atlantic,2016-05-14T00:00:00Z
56259,77394,The Impossible Task Facing Republican Leaders,Atlantic,2016-05-18T00:00:00Z
56360,77520,How Republican Governors Are Narrowing Clinton’s Choices,Atlantic,2016-05-24T00:00:00Z
56432,77596,A Possible Republican Truce on Obamacare,Atlantic,2016-05-28T00:00:00Z
56459,77660,Republicans Beg Marco Rubio to Keep His Day Job,Atlantic,2016-05-31T00:00:00Z
56498,77699,Where Republicans Stand on Donald Trump: A Cheat Sheet,Atlantic,2016-06-02T00:00:00Z
56538,77739,What Does It Mean to Be a Republican?,Atlantic,2016-06-04T00:00:00Z
56575,77792,Republicans Struggle to Make Their Anti-Poverty Plan Heard,Atlantic,2016-06-07T00:00:00Z
56874,78150,"Trump Time Capsule #87: Land of 10,000 Lakes but Not Even 1 Republican on the Presidential Ballot",Atlantic,2016-08-25T00:00:00Z
57167,78505,House Republicans Abandon One of Their Own,Atlantic,2016-06-18T00:00:00Z
57200,78557,Trump Is on the Verge of Losing Even Republicans,Atlantic,2016-06-21T00:00:00Z
57221,78578,When House Democrats Turned Out the Lights on Republicans,Atlantic,2016-06-22T00:00:00Z
57312,78691,The Atlantic Policy & Politics Daily: Wanted: Speakers for the July Republican Convention,Atlantic,2016-06-27T00:00:00Z
57329,78709,Donald Trump Issues a Warning to Republicans ,Atlantic,2016-06-27T00:00:00Z
57433,78827,Why Would a Republican Hawk Support Donald Trump?,Atlantic,2016-07-03T00:00:00Z
57477,78910,Where Republicans Stand on Donald Trump: A Cheat Sheet,Atlantic,2016-07-06T00:00:00Z
57609,79073,Planning for Calamity at the Republican Convention,Atlantic,2016-07-14T00:00:00Z
57614,79078,Will the Republican Party Recover Among Latino Voters?,Atlantic,2016-07-14T00:00:00Z
57634,79100,The Republican Hydra,Atlantic,2016-07-15T00:00:00Z
57647,79115,"Republicans’ Last, Doomed Fight Against Donald Trump",Atlantic,2016-07-16T00:00:00Z
57654,79137,The 19-Year-Old Republican Heading to Cleveland,Atlantic,2016-07-17T00:00:00Z
57655,79138,The Republicans Who Are Staying Home From Trump’s Convention,Atlantic,2016-07-17T00:00:00Z
57662,79156,Republicans’ Vaudeville Convention,Atlantic,2016-07-18T00:00:00Z
57692,79190,Do Republicans Know What ’Again’ Means?,Atlantic,2016-07-19T00:00:00Z
57705,79205,The Art of the Republican National Convention,Atlantic,2016-07-20T00:00:00Z
57711,79211,Why the Republican Convention Is So Mean,Atlantic,2016-07-20T00:00:00Z
57714,79215,’Lock Her Up’: How Hillary Hatred Is Unifying Republicans,Atlantic,2016-07-20T00:00:00Z
57722,79224,Trump Can’t Persuade Republicans to Like Him,Atlantic,2016-07-21T00:00:00Z
57751,79257,Do Republicans Think Trump Can Win?,Atlantic,2016-07-22T00:00:00Z
57765,79272,The Democrat That Republicans Really Fear Most,Atlantic,2016-07-23T00:00:00Z
57830,79362,Donald Trump Has Turned the Republicans Into the Party of Russia,Atlantic,2016-07-27T00:00:00Z
57900,79458,Sally Bradshaw Has Left the Republican Party,Atlantic,2016-08-01T00:00:00Z
57927,79485,Obama to Republicans: ‘Why Are You Still Endorsing’ Trump?,Atlantic,2016-08-02T00:00:00Z
57929,79487,Where Republicans Stand on Donald Trump: A Cheat Sheet,Atlantic,2016-08-03T00:00:00Z
57934,79492,The Atlantic  Politics & Policy Daily: Republican Leaders to Donald Trump—We Need to Talk,Atlantic,2016-08-03T00:00:00Z
57943,79501,The Republican Ticket Splits on Paul Ryan Endorsement,Atlantic,2016-08-03T00:00:00Z
57967,79525,Republican Billionaires Break for Clinton,Atlantic,2016-08-04T00:00:00Z
58051,79638,Which Republicans Oppose Donald Trump? A Cheat Sheet,Atlantic,2016-08-11T00:00:00Z
58105,79706,How Trump Remixed the Republican ’Southern Strategy’,Atlantic,2016-08-14T00:00:00Z
58128,79743,Will Donald Trump Permanently Alienate Republican Women?,Atlantic,2016-08-15T00:00:00Z
58414,80095,The Atlantic  Politics & Policy Daily: Hispanic Republicans Say Adios to Trump,Atlantic,2016-09-01T00:00:00Z
58417,80098,Donald Trump’s Immigration Speech Backfires Among Hispanic Republicans,Atlantic,2016-09-01T00:00:00Z
58431,80112,Which Republicans Oppose Donald Trump? A Cheat Sheet,Atlantic,2016-09-01T00:00:00Z
