Column,id,title,publication,date
31683,50449,"If Democrats delay action on Trump nominees, America suffers",CNN,2017-01-04T00:00:00Z
31691,50457,Obama tells Democrats: ’Don’t rescue’ Republicans on ’Trumpcare’,CNN,2017-01-04T00:00:00Z
31998,50765,These Democrats aren’t attending Trump’s inauguration,CNN,2017-01-14T00:00:00Z
32007,50774,Democrats already are trying to get out the vote for 2020,CNN,2017-01-14T00:00:00Z
32142,50909,Democrats vow to fight Trump’s plans to repeal Obamacare,CNN,2017-01-19T00:00:00Z
32282,51049,Medicaid takes center stage as Democrats grill Tom Price  ,CNN,2017-01-24T00:00:00Z
32462,51229,Democrats protest Trump’s travel ban outside Supreme Court,CNN,2017-01-30T00:00:00Z
32504,51271,Democrats face their powerlessness,CNN,2017-02-02T00:00:00Z
32598,51365,Is anti-Trump furor papering over Democrats’ working-class woes? ,CNN,2017-02-05T00:00:00Z
32612,51379,Democratic base leading the way for would-be party leaders,CNN,2017-02-06T00:00:00Z
32662,51429,Democratic senator: We may flip another GOP vote on DeVos,CNN,2017-02-07T00:00:00Z
32728,51495,The Democrats fighting the legal battles against Trump,CNN,2017-02-09T00:00:00Z
32802,51614,"Democrats, advocates question ICE enforcement raids",CNN,2017-02-11T00:00:00Z
33100,51913,Democratic divisions on display at DNC debate,CNN,2017-02-22T00:00:00Z
33170,51983,Democrats: WH contact with FBI an ’outrageous breach of the FBI’s independence’,CNN,2017-02-24T00:00:00Z
33266,52079,Democratic women wear white to Trump’s address,CNN,2017-03-01T00:00:00Z
33377,52190,Cyberattack hits PA Democrats’ computers,CNN,2017-03-05T00:00:00Z
33473,52286,Democrats call for special counsel during hearing for Sessions’ would-be deputy,CNN,2017-03-07T00:00:00Z
33532,52345,Amazon bestseller: 266 blank pages on why to vote Democrat,CNN,2017-03-09T00:00:00Z
33625,52438,How CBO report could help Democrats beat Trump,CNN,2017-03-14T00:00:00Z
33783,52597,"Gorsuch touts family, roots while Democrats revisit Garland snub",CNN,2017-03-20T00:00:00Z
33834,52648,Durbin: Gorsuch lacks necessary Democratic support,CNN,2017-03-22T00:00:00Z
33917,52732,"GOP, you need to make friends with Democrats",CNN,2017-03-25T00:00:00Z
33937,52752,Lindsey Graham on health care: Republicans and Democrats need to work together,CNN,2017-03-25T00:00:00Z
33984,52799,Kasich: Trump needs to work with Democrats on health care,CNN,2017-03-26T00:00:00Z
34006,52821,Inscrutable Gorsuch raises Democratic ire,CNN,2017-03-28T00:00:00Z
34065,52881,"Republicans, Democrats hold dueling events as Gorsuch vote looms",CNN,2017-03-29T00:00:00Z
34097,52913,Paul Ryan: I don’t want to work with Democrats on health care,CNN,2017-03-30T00:00:00Z
34098,52914,"Sanders criticizes Clinton campaign, Democrats at Boston rally",CNN,2017-04-01T00:00:00Z
34115,52931,House Democrat calls bid to unseat Cruz key to flipping Senate,CNN,2017-03-31T00:00:00Z
34137,52953,Why everyone is waiting to hear from these Democrats on Neil Gorsuch,CNN,2017-04-01T00:00:00Z
34337,53154,Democrats have zero leverage after Gorsuch ,CNN,2017-04-08T00:00:00Z
34611,53429,Democrats needed a win. They didn’t get one in Georgia.,CNN,2017-04-19T00:00:00Z
34671,53490,Democrats’ ’unity tour’ is highlighting their many divisions ,CNN,2017-04-21T00:00:00Z
34703,53523,Hillary Clinton doesn’t deserve all the blame for Democrats’ failure,CNN,2017-04-21T00:00:00Z
34751,53571,Democrats open to more border security money ,CNN,2017-04-24T00:00:00Z
34767,53587,This poll number should scare Democrats,CNN,2017-04-24T00:00:00Z
34921,53741,Democrats’ Senate math problem,CNN,2017-04-29T00:00:00Z
35001,53821,"Don’t lose your focus, Democrats",CNN,2017-05-03T00:00:00Z
35137,53958,"Democrats, don’t get too giddy about 2018",CNN,2017-05-07T00:00:00Z
35243,54064,Trump: Russian meddling story an ’excuse’ for why Democrats lost,CNN,2017-05-12T00:00:00Z
35370,54191,Democrats set for first view of potential 2020 candidates,CNN,2017-05-16T00:00:00Z
35458,54279,Cupp: Democrats will definitely turn on Mueller,CNN,2017-05-18T00:00:00Z
35877,54700,How Greg Gianforte’s body slam might save a Democratic Senate seat in Montana,CNN,2017-06-02T00:00:00Z
36023,54846,Democrats furious at evasive answers at hearing,CNN,2017-06-07T00:00:00Z
36026,54849,Democrats pounce on Handel for ’livable wage’ remark,CNN,2017-06-07T00:00:00Z
36088,54911,"Sanders to faithful: Take down Trump, take over Democratic Party",CNN,2017-06-10T00:00:00Z
36581,55408,Democrats end House sit-in protest over gun control,CNN,2016-06-22T00:00:00Z
36649,55476,Clinton campaign hails Democratic platform,CNN,2016-06-26T00:00:00Z
36712,55539,Democrats block $1.1 billion Zika bill,CNN,2016-06-27T00:00:00Z
36826,55654,Democrats call for end to death penalty,CNN,2016-07-01T00:00:00Z
36892,55721,House Democrats will oppose GOP gun bill,CNN,2016-07-01T00:00:00Z
37109,55939,First on CNN: House Democrats bracket Ryan with cable ad buy  ,CNN,2016-07-11T00:00:00Z
37282,56114,Democrats to counter GOP’s convention message,CNN,2016-07-17T00:00:00Z
37375,56208,The West should embrace Turkey’s democratic resistance,CNN,2016-07-22T00:00:00Z
37535,56369,6 takeaways from Wednesday night at the Democratic Convention,CNN,2016-07-28T00:00:00Z
37575,56413,10 takeaways from the Democratic convention,CNN,2016-07-29T00:00:00Z
37587,56425,Democrats review Clinton’s convention message ,CNN,2016-07-29T00:00:00Z
37602,56440,The Democrats’ Republican moment,CNN,2016-07-29T00:00:00Z
37920,56761,How Democrats can resolve identity crisis,CNN,2016-08-10T00:00:00Z
37973,56814,"Hacker releases cell phone numbers, personal emails of House Democrats",CNN,2016-08-13T00:00:00Z
38043,56886,Democrats face simmering internal tensions ,CNN,2016-08-15T00:00:00Z
38707,57556,Democrats hit GOP candidate in Nevada over Trump support,CNN,2016-09-09T00:00:00Z
38905,57755,Pence says he’s getting ’whiff of desperation’ from Democrats,CNN,2016-09-15T00:00:00Z
