Column,id,title,publication,date
31628,50394,Hill Republicans eye busy first 100 days of 2017,CNN,2017-01-02T00:00:00Z
31654,50420,House Republicans pull plan to gut independent ethics committee  after Trump tweets,CNN,2017-01-03T00:00:00Z
31691,50457,Obama tells Democrats: ’Don’t rescue’ Republicans on ’Trumpcare’,CNN,2017-01-04T00:00:00Z
31693,50459,Republicans already jittery about Obamacare repeal,CNN,2017-01-04T00:00:00Z
31733,50499,Republican Obamacare fan hopes Trump’s stance softens,CNN,2017-01-06T00:00:00Z
31764,50530,Republicans face stumbling blocks on Obamacare repeal,CNN,2017-01-06T00:00:00Z
31857,50624,Republicans may speed up parts of Obamacare replacement,CNN,2017-01-09T00:00:00Z
31872,50639,Republicans ask if they should take Trump literally,CNN,2017-01-11T00:00:00Z
31894,50661,"Trump wants Obamacare repeal ’quickly,’ but Republicans aren’t ready",CNN,2017-01-10T00:00:00Z
31945,50712,Lifelong Republican to Speaker Ryan: Obamacare saved my life      ,CNN,2017-01-13T00:00:00Z
32297,51064,Republicans eyeing special budget bill for Trump border wall,CNN,2017-01-25T00:00:00Z
32676,51443,"Republican elders float carbon tax, plan White House lobbying campaign",CNN,2017-02-08T00:00:00Z
32684,51451,Republican family opens home to Muslims seeking refuge,CNN,2017-02-07T00:00:00Z
32814,51626,The folks packing Republican town halls ,CNN,2017-02-13T00:00:00Z
32873,51685,Republicans want EPA to investigate use of encrypted texts,CNN,2017-02-14T00:00:00Z
32934,51746,"Republicans have long talk about Obamacare, but no bill yet",CNN,2017-02-16T00:00:00Z
33178,51991,Jewish Republican group loyal to Trump above all else,CNN,2017-02-25T00:00:00Z
33186,51999,Republican lawmaker: Russia investigation needs special prosecutor,CNN,2017-02-25T00:00:00Z
33359,52172,GOP leaders may dare fellow Republicans to vote against Obamacare repeal,CNN,2017-03-03T00:00:00Z
33450,52263,Republicans unveil bill to repeal Obamacare ,CNN,2017-03-06T00:00:00Z
33514,52327,Republican: Medicaid changes can win votes,CNN,2017-03-09T00:00:00Z
33640,52453,By the numbers: Why millions go uninsured under Republicans’ Obamacare alternative,CNN,2017-03-13T00:00:00Z
33662,52475,Moderate Republicans turn against GOP bill,CNN,2017-03-14T00:00:00Z
33704,52518,"Republicans lose patience with FBI on Russia, Trump campaign ties information",CNN,2017-03-14T00:00:00Z
33795,52609,Republicans change health care bill in search for votes,CNN,2017-03-21T00:00:00Z
33868,52682,Which Republicans are opposing the Obamacare repeal bill?,CNN,2017-03-15T00:00:00Z
33881,52695,House Republicans pull health care bill,CNN,2017-03-24T00:00:00Z
33937,52752,Lindsey Graham on health care: Republicans and Democrats need to work together,CNN,2017-03-25T00:00:00Z
33996,52811,Republicans not yet ready to abandon health care,CNN,2017-03-28T00:00:00Z
34065,52881,"Republicans, Democrats hold dueling events as Gorsuch vote looms",CNN,2017-03-29T00:00:00Z
34084,52900,Here’s where Republicans stand on the nuclear option,CNN,2017-03-30T00:00:00Z
34209,53025,It’s déjà vu for Republicans on health care,CNN,2017-04-04T00:00:00Z
34335,53152,Moderate Republican Costello feels health care pressure in town hall,CNN,2017-04-09T00:00:00Z
34340,53157,Top Republicans who opposed Syria attack under Obama are now praising Trump’s strike,CNN,2017-04-07T00:00:00Z
34418,53235,Republicans avert disaster in Kansas but 2018 trouble looms,CNN,2017-04-12T00:00:00Z
34427,53244,Republicans keep Kansas House seat in special election,CNN,2017-04-11T00:00:00Z
