Column,id,title,publication,date
60328,82594,Democrat Martin O’Malley fails to qualify for Ohio’s primary ballot,Fox News,2015-12-31T00:00:00Z
60424,82707,Obama will not endorse candidate in Democratic primary race,Fox News,2016-01-10T00:00:00Z
60494,82788,AP Fact Check: Democratic debaters and the facts,Fox News,2016-01-17T00:00:00Z
60640,82954,How the Iowa Democratic and Republican caucuses work,Fox News,2016-01-29T00:00:00Z
60749,83077,"Iowa Democrats stonewalling on vote totals, but past numbers were available",Fox News,2016-02-09T00:00:00Z
60784,83115,Hillary vs Bernie: Democratic debate highlights big divide between two rivals,Fox News,2016-02-12T00:00:00Z
60785,83116,Does Bernie Sanders really want to win? Three Democratic debate takeaways,Fox News,2016-02-12T00:00:00Z
61005,83368, November preview? Turnout surging in Republican primaries – and sinking for Democrats,Fox News,2016-03-03T00:00:00Z
61006,83369,"Labor unions gave $420 million to Democrats, left-wing groups from 2012-14, report shows",Fox News,2016-03-03T00:00:00Z
61031,83395,Clinton agrees to Fox News’ town hall on Monday with fellow Democratic presidential candidate Sanders,Fox News,2016-03-05T00:00:00Z
61052,83420,Transcript of the Fox News Democratic presidential  town hall,Fox News,2016-03-07T00:00:00Z
61117,83492,Clinton wins Northern Mariana Islands Democratic caucus,Fox News,2016-03-12T00:00:00Z
61160,83541,Democratic lawmakers launch blast at inspectors general in Clinton email probe,Fox News,2016-03-11T00:00:00Z
61179,83561,Sanders concedes Missouri Democratic primary; Clinton wins,Fox News,2016-03-17T00:00:00Z
61316,83714,"Sanders projected to win Washington, Alaska Democratic presidential caucuses",Fox News,2016-03-26T00:00:00Z
61420,83832,"Clinton, Sanders agree to Democratic debate in Brooklyn before New York primary",Fox News,2016-04-04T00:00:00Z
61442,83855,Ethics report: Florida Democrat Grayson likely violated House rules,Fox News,2016-04-05T00:00:00Z
61470,83887,"Sanders wins Wyoming Democratic caucuses, Cruz taking Colorado delegates",Fox News,2016-04-09T00:00:00Z
61523,83946,"Clinton campaign, Democratic Party sue Arizona over primary voting problems",Fox News,2016-04-14T00:00:00Z
61727,84170,Sanders scores upset victory in Indiana Democratic primary,Fox News,2016-05-03T00:00:00Z
61860,84321,Nevada Democratic Convention becomes ’unruly and unpredictable’ amid rules disputes over delegates ,Fox News,2016-05-15T00:00:00Z
61886,84351,Oregon Democratic primary structure may work against Sanders,Fox News,2016-05-16T00:00:00Z
61903,84372,"Nevada unrest sparks Democratic concerns about convention, party chaos",Fox News,2016-05-19T00:00:00Z
61959,84435,Democrats reportedly discuss dropping DNC chair Wasserman Schultz,Fox News,2016-05-24T00:00:00Z
61960,84436,Sanders warns Democratic National Convention could be ’messy’,Fox News,2016-05-23T00:00:00Z
61980,84459,"Race narrows in California Democratic primary race, poll finds",Fox News,2016-05-26T00:00:00Z
