Column,id,title,publication,date
60468,82758,South Carolina: Gateway to the 2016 Republican nomination,Fox News,2016-01-14T00:00:00Z
60485,82778,"Republicans on Capitol Hill, campaign trail joyful about prisoner release, still upset about Iran nuclear deal",Fox News,2016-01-16T00:00:00Z
60614,82923,Fox News Republican debate: Four things to keep your eye on,Fox News,2016-01-28T00:00:00Z
60640,82954,How the Iowa Democratic and Republican caucuses work,Fox News,2016-01-29T00:00:00Z
60690,83009,Top House Republican demands Kerry explain $1.7 billion Iran payment,Fox News,2016-02-03T00:00:00Z
60706,83027,Republicans push for Fiorina to be included in ABC debate,Fox News,2016-02-05T00:00:00Z
60708,83029,"Obama rips ’doom and despair’ Republicans on economy, defends oil tax",Fox News,2016-02-06T00:00:00Z
60817,83154,Hey Republicans -- Don’t screw this up,Fox News,2016-02-15T00:00:00Z
60826,83163,Obama fires back at Senate Republicans in Supreme Court battle,Fox News,2016-02-16T00:00:00Z
60835,83176,Republicans need to stop acting the fool,Fox News,2016-02-17T00:00:00Z
60883,83233,Dems on their own? Republicans claim Clinton coattails ’fraying’,Fox News,2016-02-22T00:00:00Z
60891,83243,Core Republicans throw support to Rubio as best bet to derail Trump,Fox News,2016-02-23T00:00:00Z
60897,83250,What is a Trump Republican? GOP front-runner building diverse coalition,Fox News,2016-02-24T00:00:00Z
61005,83368, November preview? Turnout surging in Republican primaries – and sinking for Democrats,Fox News,2016-03-03T00:00:00Z
61136,83514,Fox News to host March 21 Republican presidential debate,Fox News,2016-03-14T00:00:00Z
61154,83534,Republicans hammer EPA official over Flint water crisis,Fox News,2016-03-15T00:00:00Z
61171,83552,Obama pressures Republicans with ’political’ Supreme Court pick,Fox News,2016-03-16T00:00:00Z
61219,83608,Trump reportedly to meet with top Republicans in Washington,Fox News,2016-03-20T00:00:00Z
61252,83643,"Bill Clinton slams ’awful legacy of the last eight years’, claims he was criticizing Republicans",Fox News,2016-03-22T00:00:00Z
61317,83715,"Nearly 20,000 support petition to allow guns at Republican National Convention",Fox News,2016-03-26T00:00:00Z
61396,83802,Palin calls on Republicans to unify behind Trump candidacy at GOP dinner,Fox News,2016-04-02T00:00:00Z
61630,84062,"Republicans: Virginia Gov McAuliffe restored felon voting rights to help Clinton, ‘political  opportunism’",Fox News,2016-04-23T00:00:00Z
61641,84075,Cruz stays in the Republican presidential fight by quietly scoring delegates ,Fox News,2016-04-24T00:00:00Z
61728,84171,"Trump clinches, Cruz bails and the media face a new Republican reality",Fox News,2016-05-03T00:00:00Z
61756,84201,A message for my fellow Republicans: If you back Trump you will not be trusted again,Fox News,2016-05-03T00:00:00Z
61850,84311,Report: Anti-Trump Republicans contacted Mark Cuban about third-party bid,Fox News,2016-05-15T00:00:00Z
61851,84312,Donald who? Wisconsin Republicans largely avoid Trump,Fox News,2016-05-14T00:00:00Z
61914,84383,"’Blue Lives Matter’ display defaced at Dartmouth, college Republicans say",Fox News,2016-05-17T00:00:00Z
61967,84443,Republicans seize on State Department audit to challenge Clinton’s repeated claims on emails,Fox News,2016-05-25T00:00:00Z
61995,84475,North Carolina police department pulls out of Republican National Convention,Fox News,2016-05-28T00:00:00Z
62012,84502,Cleveland officials to outline security measures for Republican National Convention,Fox News,2016-05-29T00:00:00Z
62190,84712,Alaska Republicans back bill to prevent ObamaCare meltdown in state,Fox News,2016-06-13T00:00:00Z
62226,84752,"Ryan, top Republicans urge caution on post-Orlando gun control measures",Fox News,2016-06-16T00:00:00Z
62285,84819,Republican senator seeks bipartisan support for gun deal,Fox News,2016-06-21T00:00:00Z
62294,84829,"African-Americans should start voting for Republicans, again",Fox News,2016-06-22T00:00:00Z
62428,84977,Republican delegate revolt grows in effort to sidetrack Trump nomination,Fox News,2016-07-04T00:00:00Z
62503,85068,House Republicans want more answers from FBI’s Comey on Clinton case,Fox News,2016-07-11T00:00:00Z
62579,85148,Priebus on Republican convention: ’We’re ready for it’,Fox News,2016-07-17T00:00:00Z
62580,85149,Republican National Convention: By the numbers,Fox News,2016-07-17T00:00:00Z
62589,85159,"Republican officials approve convention rules, triggering uproar",Fox News,2016-07-18T00:00:00Z
62603,85176,"Trump closes the deal, becomes Republican nominee for president",Fox News,2016-07-19T00:00:00Z
62606,85179,Four things we’ve learned (so far) from the Republican Convention,Fox News,2016-07-19T00:00:00Z
62780,85377,Republicans planning Trump ’intervention’ after rocky week,Fox News,2016-08-03T00:00:00Z
62941,85551,House Republicans detail perjury allegations against Clinton,Fox News,2016-08-15T00:00:00Z
63078,85704,Republican calls grow for second look at Clinton case,Fox News,2016-08-25T00:00:00Z
63221,85868,Republicans push to re-open Clinton email case after FBI document drop,Fox News,2016-09-06T00:00:00Z
63248,85900,Republicans demand answers on cash payment to Iran at tense hearing,Fox News,2016-09-08T00:00:00Z
63255,85907,Trump Card? Republican voter registration a bright spot for campaign,Fox News,2016-09-09T00:00:00Z
63605,86301,"ObamaCare architect on defense over rising premiums, blames Republicans",Fox News,2016-10-06T00:00:00Z
63607,86303,Republicans blast FBI for ’astonishing’ agreement to destroy Clinton aides’ laptops,Fox News,2016-10-05T00:00:00Z
63660,86359,"Republicans claim ’collusion’ after email appears to show DOJ, Clinton campaign contact",Fox News,2016-10-11T00:00:00Z
63664,86363,"Trump rips Ryan, ’disloyal’ Republicans for shunning his campaign",Fox News,2016-10-11T00:00:00Z
63678,86378,Who’s with Trump? Senate Republicans deeply split in wake of tape controversy,Fox News,2016-10-12T00:00:00Z
63705,86408,Some big Republican donors want RNC to cut ties with Trump,Fox News,2016-10-14T00:00:00Z
63848,86573,Republicans banking on carefully built House firewall,Fox News,2016-10-24T00:00:00Z
63894,86625,Republicans renew calls for Clinton to be denied security briefings,Fox News,2016-10-28T00:00:00Z
63912,86647,"Republicans have only guarded optimism about FBI probe changing Clinton, Trump race",Fox News,2016-10-29T00:00:00Z
64075,86825,"Ryan says Trump victory will unify Republicans, vows to work ’hand in hand’",Fox News,2016-11-09T00:00:00Z
64506,87298,Louisiana votes to send Republican John Kennedy to U.S. Senate,Fox News,2016-12-11T00:00:00Z
64512,87305,CIA report of Russia interference in 2016 race divides Republicans,Fox News,2016-12-12T00:00:00Z
64577,87376,9/11 record of Republican ’faithless elector’ called into question,Fox News,2016-12-16T00:00:00Z
64655,87465,Republicans accuse Dems of ’hypocrisy’ after ’bathroom bill’ repeal falls apart,Fox News,2016-12-22T00:00:00Z
