Column,id,title,publication,date
107310,160699,Deal Or Disrupt? Congressional Democrats Weigh 2017 Choices,NPR,2016-12-30T00:00:00Z
107403,160802,New Democratic Senate Leader Vows To Hold ’Donald Trump’s Feet To The Fire’,NPR,2017-01-06T00:00:00Z
107404,160803,Bernie Sanders Says Trump Won Because Democrats Are Out Of Touch,NPR,2017-01-06T00:00:00Z
107415,160815,Biden To Democrats Objecting To Electoral College Results: ’It Is Over’,NPR,2017-01-06T00:00:00Z
107518,160949,How Democrats Are Using Confirmation Hearings To Attack Trump ,NPR,2017-01-11T00:00:00Z
107604,161046,Democrats Rally In Dozens Of Cities To Oppose Obamacare Repeal ,NPR,2017-01-15T00:00:00Z
107605,161047,Democrats Hope Sunday Obamacare Rallies Can Help Them Regain Momentum ,NPR,2017-01-15T00:00:00Z
107868,161375,"Democrats Try To Find A Future Post-Obama With Fault Lines Along Economics, Race",NPR,2017-01-24T00:00:00Z
107993,161537,Senate Democrats Block Committee Votes On 2 Trump Nominees,NPR,2017-01-31T00:00:00Z
108035,161582,Senate Republicans Defy Democrats’ Boycott To Advance Trump Nominees ,NPR,2017-02-01T00:00:00Z
108036,161583,Liberals To Senate Democrats: (Don’t) Do Your Jobs,NPR,2017-02-01T00:00:00Z
108064,161614,Senate Republicans Bypass Another Boycott By Democrats To Advance EPA Nominee,NPR,2017-02-02T00:00:00Z
108075,161626,Senate Democrats In Political Quagmire Over Supreme Court Nomination ,NPR,2017-02-02T00:00:00Z
108138,161725,Senate Democrats Rally Overnight Against Trump’s Education Pick Ahead Of Vote,NPR,2017-02-06T00:00:00Z
108279,161893,Will Senate Democrats Work With Trump? The 10 Senators To Watch,NPR,2017-02-09T00:00:00Z
108507,162210,Who’s Who In The Race For DNC Chair — And Their Plans To Make Democrats Win Again,NPR,2017-02-21T00:00:00Z
108606,162317,Democrats Pick Ex-Kentucky Governor To Respond To Trump Speech To Congress,NPR,2017-02-24T00:00:00Z
108614,162325,Perez Elected As Chairman Of Democratic National Committee,NPR,2017-02-25T00:00:00Z
108682,162428,Some Democrats Will Bring Muslim Guests To Trump’s Speech,NPR,2017-02-28T00:00:00Z
108700,162448,"With Republicans In Charge, Democrats Plan To Redefine Their Mission",NPR,2017-02-28T00:00:00Z
108712,162461,"Democratic Response To Trump’s Address To Congress, Annotated",NPR,2017-02-28T00:00:00Z
108721,162471,"House Democrats Lose Another Bid To Investigate Trump, But Don’t Plan To Quit",NPR,2017-03-01T00:00:00Z
108726,162476,"Pence Says Speech Showed ’Big Heart,’ But Democrats Say Same Old Trump",NPR,2017-03-01T00:00:00Z
108740,162492,One Democrat’s Hunt For The Hidden Obamacare Replacement Bill ,NPR,2017-03-02T00:00:00Z
108741,162493,Schumer Says GOP Division Gives Democrats A Chance To Save Obamacare,NPR,2017-03-02T00:00:00Z
108811,162591,Can Democrats Turn Activism Into Votes? Special Elections Might Be A Clue,NPR,2017-03-05T00:00:00Z
109028,162866,Pelosi Says Democrats Have A Responsibility To Look For Common Ground On Health Law,NPR,2017-03-15T00:00:00Z
109126,162986,Senate Democrats Lighting The Grill For Gorsuch’s Confirmation Hearings,NPR,2017-03-19T00:00:00Z
109131,162995,Maryland Democrats Aim To ’Build The Pipeline’ For Women In Office,NPR,2017-03-19T00:00:00Z
109135,163009,Democrats Criticize Supreme Court Nominee Gorsuch As Pro-Business,NPR,2017-03-20T00:00:00Z
109136,163010,"Republicans Praise Gorsuch, Democrats Decry Garland Treatment On Day 1 Of Hearings",NPR,2017-03-20T00:00:00Z
109481,163437,Democrats Have The Votes To Filibuster Gorsuch And Force ’Nuclear’ Senate Showdown,NPR,2017-04-03T00:00:00Z
109814,163834,Georgia Democrats See Chance To Send A Message With Special Election Upset,NPR,2017-04-16T00:00:00Z
109955,164010,Bernie Sanders Defends Campaigning For Anti-Abortion Rights Democrat,NPR,2017-04-20T00:00:00Z
110317,164481,’Nothing Less Than Nixonian’: Democrats React To Comey Firing,NPR,2017-05-09T00:00:00Z
110419,164588,At Least 1 Person Dies Of Ebola In Democratic Republic Of The Congo,NPR,2017-05-12T00:00:00Z
110928,165296,"Trump Calls Democrats ’Obstructionists,’ But He’s Only Nominated 11 Ambassadors",NPR,2017-06-05T00:00:00Z
111155,165571,Trump Looms Over Both Democratic And GOP Primaries For Virginia Governor,NPR,2017-06-13T00:00:00Z
111181,165602,"Democratic Lawmakers Sue Trump, Handing The President Another Legal Challenge",NPR,2017-06-14T00:00:00Z
111292,165756,"Republicans Hold Georgia House Seat, Dashing Democrats’ Hopes",NPR,2017-06-20T00:00:00Z
111320,165786,Democrats Tie Up The Senate To Protest GOP Health Care Push,NPR,2017-06-19T00:00:00Z
111332,165798,Democrats Seek Records On Jared Kushner As Administration Tries To Stifle Oversight,NPR,2017-06-21T00:00:00Z
111339,165808,What The Democratic Loss in Georgia Means For The Midterms,NPR,2017-06-21T00:00:00Z
111912,166481,3 Questions Ahead Of Tonight’s Democratic Debate,NPR,2016-01-17T00:00:00Z
111939,166511,"Sanders And Clinton Clash On Guns, Health Care In Democratic Debate ",NPR,2016-01-17T00:00:00Z
111940,166512,The 4th Democratic Debate In 100 Words (Plus A Vine And 2 Videos),NPR,2016-01-17T00:00:00Z
112384,167017,Clinton Or Sanders? Young Democrats Weigh In,NPR,2016-02-07T00:00:00Z
112455,167093,Democratic Debate: 4 Things To Watch Tonight,NPR,2016-02-11T00:00:00Z
112530,167184,"In Nevada, Will A Generation Gap Over Democratic Candidates Persist?",NPR,2016-02-12T00:00:00Z
112866,167555,Elections 2016: Democratic And Republican Delegate Tracker,NPR,2016-03-02T00:00:00Z
112910,167600,The Democratic Party Got Crushed During The Obama Presidency. Here’s Why,NPR,2016-03-04T00:00:00Z
112944,167636,"Clinton, Sanders Get Testy In Democratic Debate In Flint",NPR,2016-03-06T00:00:00Z
112945,167637,The 7th Democratic Debate In 100 Words (And 3 Videos),NPR,2016-03-06T00:00:00Z
113016,167709,Democratic Debate: 3 Things To Watch,NPR,2016-03-09T00:00:00Z
113167,167886,Republicans Are Far Outstripping Democrats In Primary Turnout,NPR,2016-03-16T00:00:00Z
113256,167990,Bernie Sanders Won Democrats Abroad ... But Who Are They?,NPR,2016-03-21T00:00:00Z
113277,168012,Arizona Primary: Native Americans Could Be Key For Democrats,NPR,2016-03-22T00:00:00Z
113562,168340,Democratic Race Turns Negative As Sanders And Clinton Spar Over Experience,NPR,2016-04-07T00:00:00Z
113702,168499,Democratic Debate: Is Politeness Over? Here Are 4 Things To Watch,NPR,2016-04-14T00:00:00Z
113703,168500,Sanders Denounces Surrogate’s ’Corporate Democratic Whores’ Comment At Rally,NPR,2016-04-14T00:00:00Z
114044,168898,"As Democrats Look To General Election, Clinton Raises More Money Than Sanders",NPR,2016-05-02T00:00:00Z
114093,168948,Bernie Sanders Says He’s Staying In And It’s ’Good For The Democratic Party’,NPR,2016-05-04T00:00:00Z
114184,169047,Bernie Sanders Endorses The Man Trying To Unseat The Democratic Party Chair,NPR,2016-05-07T00:00:00Z
114364,169276,Can Trump Turn Pennsylvania’s Disaffected Democrats Into Believers By November?,NPR,2016-05-17T00:00:00Z
114431,169350,"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",NPR,2016-05-20T00:00:00Z
114451,169378,Making Democrats’ Primaries More Open Could Be Harder Than You Think,NPR,2016-05-21T00:00:00Z
114537,169471,"Democrats Burned By Charges Of A Rigged Nomination, But Some In GOP Watch With Envy",NPR,2016-05-26T00:00:00Z
114590,169554,Is Primary Rivalry Making The Democratic Party Stronger Like It Did In 2008? ,NPR,2016-05-29T00:00:00Z
114892,169949,"WATCH: Following Moment Of Silence, Democrats Shout Down Speaker Ryan",NPR,2016-06-14T00:00:00Z
114902,169961,"Russian Hackers Penetrate Democratic National Committee, Steal Trump Research ",NPR,2016-06-14T00:00:00Z
114916,169976,Democrats Hold Senate Floor Until Early Thursday In A Push For Gun Control,NPR,2016-06-15T00:00:00Z
114944,170006,Will The Millions Of People Who Gave Money To Bernie Sanders Give To Democrats?,NPR,2016-06-15T00:00:00Z
114980,170043,Will Senate Democrats’ Talk-A-Thon Get Movement On Gun Legislation?,NPR,2016-06-17T00:00:00Z
115073,170159,"Demanding Action On Gun Control, House Democrats Stage Sit-In ",NPR,2016-06-22T00:00:00Z
115108,170194,"Almost 26 Hours Later, House Democrats End Gun Control Sit-In ",NPR,2016-06-23T00:00:00Z
