Column,id,title,publication,date
107332,160727,Republicans Take The First Step To Repeal Obamacare,NPR,2017-01-03T00:00:00Z
107479,160907,FBI’s Comey Says Russia Also ’Harvested’ Data From Republicans,NPR,2017-01-10T00:00:00Z
107782,161273,Republican Plan To Replace Obamacare Would Turn Medicaid Over To States,NPR,2017-01-22T00:00:00Z
107810,161311,Meet The Republican Governors Who Don’t Want To Repeal All Of Obamacare,NPR,2017-01-23T00:00:00Z
107828,161333,Republicans Eye ’Once In A Generation’ Chance At Tax Overhaul,NPR,2017-01-24T00:00:00Z
108035,161582,Senate Republicans Defy Democrats’ Boycott To Advance Trump Nominees ,NPR,2017-02-01T00:00:00Z
108064,161614,Senate Republicans Bypass Another Boycott By Democrats To Advance EPA Nominee,NPR,2017-02-02T00:00:00Z
108201,161806,Republicans Vote To Silence Sen. Elizabeth Warren In Confirmation Debate,NPR,2017-02-08T00:00:00Z
108398,162056,Republican Health Care Proposal Would Cover Fewer Low-Income Families,NPR,2017-02-16T00:00:00Z
108469,162150,"New York Republican Rep. Tom Reed Faces Angry Crowds, Deep In Trump Country",NPR,2017-02-19T00:00:00Z
108700,162448,"With Republicans In Charge, Democrats Plan To Redefine Their Mission",NPR,2017-02-28T00:00:00Z
108848,162641,4 Challenges Trump And Republicans Face When It Comes To Health Care,NPR,2017-03-07T00:00:00Z
108899,162701,State Republicans Push For More Restrictive Voting Laws,NPR,2017-03-09T00:00:00Z
108956,162766,The Winners And Losers In The Republican Health Care Plan,NPR,2017-03-09T00:00:00Z
109102,162946,Trump Claims To Move Some Republicans From ’No’ To ’Yes’ On GOP Health Care Bill,NPR,2017-03-17T00:00:00Z
109130,162993,5 Charts That Explain The CBO Report On The Republican Health Plan,NPR,2017-03-15T00:00:00Z
109136,163010,"Republicans Praise Gorsuch, Democrats Decry Garland Treatment On Day 1 Of Hearings",NPR,2017-03-20T00:00:00Z
109163,163039,Trump Says Republicans Will Lose In 2018 If They Don’t Support GOP Health Care Bill,NPR,2017-03-21T00:00:00Z
109200,163084,Repeal Of Health Law Could Force Tough Decisions For Arizona Republicans,NPR,2017-03-22T00:00:00Z
109254,163144,Republicans Admit Defeat On Health Care Bill: ’Obamacare Is The Law Of The Land’,NPR,2017-03-24T00:00:00Z
109282,163177,Oops ... PAC Runs TV Ads Thanking Some Republicans For Repealing Obamacare,NPR,2017-03-25T00:00:00Z
109297,163201,"Failed House Vote Is ’A Great Opportunity’ For Republicans, Former House Leader Says",NPR,2017-03-25T00:00:00Z
109446,163374,Republicans ’Turn The Cannons On Each Other’ In Week Of Public Feuding,NPR,2017-03-31T00:00:00Z
109635,163615,Republicans Are Using An Obscure Law To Repeal Some Obama-Era Regulations,NPR,2017-04-09T00:00:00Z
109661,163655,Republicans Now Control Obamacare. Will Your Coverage Change?,NPR,2017-04-10T00:00:00Z
109885,163934,"Ga. Republican, At Center Of Planned Parenthood Controversy, Back In Spotlight",NPR,2017-04-19T00:00:00Z
109886,163935,Georgia Special Election Headed To Runoff As Republicans Avoid Nightmare Scenario,NPR,2017-04-19T00:00:00Z
110265,164383,Health Care Vote Could Threaten Republican House Majority,NPR,2017-05-05T00:00:00Z
110287,164423,’Oracle Of Omaha’: Republican Health Care Bill ’A Huge Tax Cut For Guys Like Me’,NPR,2017-05-06T00:00:00Z
110323,164487,Fact-Checking Republicans’ Defense Of The GOP Health Bill,NPR,2017-05-09T00:00:00Z
110324,164488,"At Town Hall Meeting, Republican Lawmakers Get An Earful Over Health Care",NPR,2017-05-09T00:00:00Z
110378,164545,Some Vulnerable Republicans Begin To Question Timing Of Comey’s Firing,NPR,2017-05-10T00:00:00Z
110469,164665,Supreme Court Declines Republican Bid To Revive North Carolina Voter ID Law,NPR,2017-05-15T00:00:00Z
110470,164666,Secret Republican Senate Talks Are Shaping Health Care Legislation,NPR,2017-05-15T00:00:00Z
110483,164681,Republicans Restrained In Response To Trump Sharing Intelligence With Russia,NPR,2017-05-16T00:00:00Z
110743,165030,Republican Gianforte Wins Montana House Race Despite Assault Charge,NPR,2017-05-26T00:00:00Z
