Column,id,title,publication,date
81469,122799,Local Democrats practically begging Hillary to run for mayor,New York Post,2017-01-06T00:00:00Z
81480,122813,Another sign that Democrats are abandoning Israel,New York Post,2017-01-06T00:00:00Z
81499,122854,Democrats silent as Israel-bashers get louder,New York Post,2017-01-08T00:00:00Z
81501,122856,Democrats wage anti-Trump offensive for their own gain,New York Post,2017-01-08T00:00:00Z
81520,122880,"Manhattan Democrats let their chief be a lobbyist, too?",New York Post,2017-01-08T00:00:00Z
81833,123308,Trump calls out ‘angry’ Democrats on Twitter,New York Post,2017-01-15T00:00:00Z
81842,123317,Trump-Lewis feud prompts more Democrats to skip inauguration,New York Post,2017-01-15T00:00:00Z
81950,123480,Democrats are in gridlock over John Lewis’ claims and other notable comments,New York Post,2017-01-17T00:00:00Z
82113,123690,Democrats’ real fury is over their own collapse,New York Post,2017-01-19T00:00:00Z
82534,124314,Democrats are already plotting to block Trump’s Supreme Court pick,New York Post,2017-01-30T00:00:00Z
82588,124382,Democrats delay Jeff Sessions’ AG confirmation with this trick,New York Post,2017-01-31T00:00:00Z
82646,124454,Senate Democrat admits fight against Gorsuch is just politics,New York Post,2017-02-01T00:00:00Z
82656,124464,Grassroots rage and the Democrats’ crackup,New York Post,2017-02-01T00:00:00Z
82659,124467,Democrats are digging their own grave — and boosting Trump at the same time,New York Post,2017-01-31T00:00:00Z
82680,124488,What do Democrats do when they’re done acting out?,New York Post,2017-02-01T00:00:00Z
82822,124674,Why scared Democrats need to back Neil Gorsuch,New York Post,2017-02-04T00:00:00Z
82890,124780,Democrats trying their hardest to sink DeVos nomination,New York Post,2017-02-06T00:00:00Z
82914,124807,What’s really behind Democrats’ all-night anti-DeVos show,New York Post,2017-02-06T00:00:00Z
83005,124918,The Democratic Party has lost its mind — and its soul,New York Post,2017-02-08T00:00:00Z
83079,125006,"In race to run the Democratic Party, common sense has already lost",New York Post,2017-02-08T00:00:00Z
83081,125008,Democrats’ empty anti-Trump stunts have made the Senate a circus,New York Post,2017-02-08T00:00:00Z
83357,125404,Offing Andy Puzder will likely only feed Democrats’ blood lust,New York Post,2017-02-15T00:00:00Z
83761,125939,Democrats are asking all the wrong questions of wannabe party chairs,New York Post,2017-02-23T00:00:00Z
83905,126140,The Democrats who don’t dare face voters at town halls,New York Post,2017-02-25T00:00:00Z
84027,126310,Democrat calls himself a Republican in response to Trump speech,New York Post,2017-03-01T00:00:00Z
84029,126313,Democrats proved Tuesday night that they still don’t get it,New York Post,2017-03-01T00:00:00Z
84493,126904,Blank book about Democrats is No. 1 bestseller on Amazon,New York Post,2017-03-10T00:00:00Z
84755,127259,Democrats still haven’t faced their God problem,New York Post,2017-03-15T00:00:00Z
85317,127994,Democrat ‘not inclined’ to join filibuster on Gorsuch vote,New York Post,2017-03-27T00:00:00Z
85486,128187,Pair of Senate Democrats signal support for Gorsuch nomination,New York Post,2017-03-30T00:00:00Z
85604,128316,Democrat will join filibuster against Gorsuch over ‘lack of humanity’,New York Post,2017-04-01T00:00:00Z
85640,128384,Democrats and Republicans split over Gorsuch nomination forecast,New York Post,2017-04-02T00:00:00Z
85924,128722,The filibuster war was all about Democrats’ excesses,New York Post,2017-04-06T00:00:00Z
85967,128770,‘Cuomole’ has state Democrats on edge,New York Post,2017-04-08T00:00:00Z
86400,129378,Democratic Convention used American flags ‘to hide crazy people shouting things’,New York Post,2017-04-18T00:00:00Z
86469,129453,Democrats’ ridiculous tax attack,New York Post,2017-04-19T00:00:00Z
86489,129474,Democrats’ all-too-telling love for Maxine Waters,New York Post,2017-04-19T00:00:00Z
86847,129935,Democrats are still rushing to extremes,New York Post,2017-04-26T00:00:00Z
87003,130115,Even Bernie Sanders thinks Democrats have gone too far,New York Post,2017-04-29T00:00:00Z
87016,130152,Trump chides Democrats for blocking his policies,New York Post,2017-04-30T00:00:00Z
87225,130411,Democrats’ bizarre response to passing of ObamaCare repeal,New York Post,2017-05-04T00:00:00Z
87296,130484,Trump’s embrace of Andrew Jackson could let Democrats steal Honest Abe,New York Post,2017-05-05T00:00:00Z
87384,130602,Trump says ‘fake media’ should probe Democrats’ ties to Russia,New York Post,2017-05-07T00:00:00Z
88010,131398,"Sorry, Democrats: You’re not putting country above party, either",New York Post,2017-05-19T00:00:00Z
88586,132188,Today’s Democrats have no problem embracing known terrorists,New York Post,2017-05-30T00:00:00Z
88665,132285,White House tells agencies to ignore Democrats’ oversight requests,New York Post,2017-06-02T00:00:00Z
88696,132317,Putin is ruthlessly trolling the Democrats,New York Post,2017-06-02T00:00:00Z
89083,132859,Top Democrat calls for investigation of Loretta Lynch’s Clinton probe,New York Post,2017-06-11T00:00:00Z
89203,133020,Democrats’ pathetic bid to swear their way into voters’ hearts,New York Post,2017-06-12T00:00:00Z
89757,134525,Democrats are de Blasio’s No. 1 affordable housing problem,New York Post,2016-08-21T00:00:00Z
90144,134931,Hacker leaks Democrats’ research reports on Trump,New York Post,2016-06-15T00:00:00Z
90183,134972,Democrats finally regret crying wolf all those years,New York Post,2016-11-07T00:00:00Z
90195,134984,Boston ‘shadow donor’ scandal casts shadows on Democrats nationwide,New York Post,2016-11-04T00:00:00Z
91071,135930,The ambitious Democrat who can make Trump University explode,New York Post,2016-03-08T00:00:00Z
91177,136042,Democratic party leader resigning in wake of email leak,New York Post,2016-07-24T00:00:00Z
91271,136156,Democrats will stick to denial even if it means burning down the Republic,New York Post,2016-12-13T00:00:00Z
91606,136531,Democrats fire warning shots at Hillary — and she better listen,New York Post,2016-07-28T00:00:00Z
91727,136664,Democratic minority challenger accused of sexism,New York Post,2016-11-21T00:00:00Z
91796,136739,Why Democrats don’t want you to have the same rights as Hillary,New York Post,2016-07-06T00:00:00Z
91864,136813,Sanders won the soul of the Democratic Party,New York Post,2016-07-16T00:00:00Z
92026,137001,Obama’s legacy is a devastated Democratic Party,New York Post,2016-12-25T00:00:00Z
92127,137114,Cheesy doc ‘Hillary’s America’ is an attack on all things Democratic,New York Post,2016-07-15T00:00:00Z
92544,137588,Why Marco Rubio is Democrats’ worst nightmare,New York Post,2016-02-05T00:00:00Z
92755,137847,Christie exposes Democrats’ Supreme hypocrisy,New York Post,2016-03-01T00:00:00Z
92916,138037,Democrats no longer care that their soda tax hits the poor hardest,New York Post,2016-04-26T00:00:00Z
92945,138070,Flip-flop flap: A Democrat stands up for formal wear,New York Post,2016-08-05T00:00:00Z
93385,138576,New York Democrats have a horrendous record on sexual harassment,New York Post,2016-10-11T00:00:00Z
93397,138589,How Trump won over a bar full of undecideds and Democrats,New York Post,2016-09-26T00:00:00Z
93506,138730,CEO who gouged EpiPen price is daughter of Democratic senator,New York Post,2016-08-24T00:00:00Z
93509,138733,Democrats keep pointing fingers everywhere but at themselves,New York Post,2016-12-19T00:00:00Z
93703,138977,Wife held in husband’s shooting was Democratic delegate,New York Post,2016-07-19T00:00:00Z
93764,139053,Two transgender candidates win in Democratic primaries,New York Post,2016-06-29T00:00:00Z
93876,139195,Democrats’ failures are lost in the glare of Trump’s personality,New York Post,2016-10-24T00:00:00Z
93882,139202,Hackers release phone numbers of House Democrats,New York Post,2016-08-13T00:00:00Z
94630,140130,Obama’s main legacy: the collapse of the Democratic Party,New York Post,2016-11-10T00:00:00Z
94732,140266,Leaked emails show how Democrats screwed Sanders,New York Post,2016-07-22T00:00:00Z
95127,140790,The Democrats are in bad shape — even if Hillary wins,New York Post,2016-11-01T00:00:00Z
95172,140843,Democrats should join Trump in calming the nation,New York Post,2016-11-13T00:00:00Z
95228,140919,Hillary’s vow to kill coal miners’ jobs finishes a vast Democratic betrayal,New York Post,2016-03-14T00:00:00Z
95672,141495,Are there any adults left in the Democratic Party?,New York Post,2016-11-27T00:00:00Z
95673,141497,"In choosing their next chief, Democrats should listen to Obama",New York Post,2016-11-30T00:00:00Z
95674,141498,"Democrats’ cloudy future, Obama’s failure to lead, and other notable commentary",New York Post,2016-08-01T00:00:00Z
96117,142086,Democratic ‘tracker’ fired for ‘stalking’ Republican candidate,New York Post,2016-06-17T00:00:00Z
96341,142374,"Ivanka Trump, husband vacation on billionaire Democrat’s yacht",New York Post,2016-08-16T00:00:00Z
96808,143048,Why the Democrats owe Mitt Romney an apology,New York Post,2016-07-26T00:00:00Z
97143,143495,Hillary’s financial history is a clear trap for Democrats,New York Post,2016-02-15T00:00:00Z
