Column,id,title,publication,date
119382,175668,Democrats demand probe of Trump health nominee,Reuters,2017-01-05T00:00:00Z
119461,175876,Top U.S. Senate Democrat says Trump’s nominees need ’thorough’ vetting,Reuters,2017-01-09T00:00:00Z
119638,176251,Senate Democrats ask Trump attorney general pick to recuse himself from Russia probes,Reuters,2017-01-17T00:00:00Z
119664,176301,U.S. Senate Democratic leader attacks Trump’s health pick on ethics charge,Reuters,2017-01-18T00:00:00Z
119676,176319,Democrats take aim at Mnuchin as confirmation hearing looms,Reuters,2017-01-19T00:00:00Z
119816,176599,California Senate confirms Democrat Becerra as attorney general,Reuters,2017-01-24T00:00:00Z
119890,176750,Democratic senators want AT&T to detail Time Warner deal benefits,Reuters,2017-01-25T00:00:00Z
119979,176951,Trump set to name U.S. high court pick as Democrats plan fight,Reuters,2017-01-30T00:00:00Z
120006,176990,"Senate Democrats delay committee votes on Sessions, Mnuchin, Price",Reuters,2017-01-31T00:00:00Z
120184,177381,Top Senate Democrat says has ’serious concerns’ about court nominee Gorsuch,Reuters,2017-02-08T00:00:00Z
120219,177440,Sessions confirmed as U.S. attorney general after battle with Democrats,Reuters,2017-02-09T00:00:00Z
120282,177538,"Skepticism over Trump’s ’wall’ cost simmers among Democrats, border Republican",Reuters,2017-02-10T00:00:00Z
120373,177753,Top U.S. Senate Democrat wants probe into details surrounding Flynn resignation,Reuters,2017-02-14T00:00:00Z
120639,178275,Democrats pick Perez to lead party against Trump,Reuters,2017-02-26T00:00:00Z
120674,178361,"Democrats must overhaul party, attack big business, Sanders says",Reuters,2017-02-26T00:00:00Z
120746,178499,Senate Democrats seek Trump tax returns,Reuters,2017-03-01T00:00:00Z
120775,178552,"FBI holding back information on Russia probes, Democrat says",Reuters,2017-03-02T00:00:00Z
120868,178772,"Medical providers oppose Trump-backed health plan, Democrats take aim",Reuters,2017-03-09T00:00:00Z
121029,179067,Chile Christian Democrats pick senator for crowded presidential race,Reuters,2017-03-11T00:00:00Z
121145,179338,"Leading Republicans, Democrats reject Trump’s Obama wiretap assertion",Reuters,2017-03-17T00:00:00Z
121229,179521,Democrats raise doubts about Trump’s high court nominee Gorsuch,Reuters,2017-03-20T00:00:00Z
121305,179689,Democrats grill U.S. high court nominee over Trump concerns,Reuters,2017-03-23T00:00:00Z
121346,179765,Top Senate Democrat promises fight to block Trump high court pick,Reuters,2017-03-24T00:00:00Z
121362,179791,Democratic opposition to U.S. high court nominee grows,Reuters,2017-03-24T00:00:00Z
121403,179897,White House looks past conservatives on tax reform - to Democrats,Reuters,2017-03-27T00:00:00Z
121429,179959,More Democrats oppose Trump’s U.S. Supreme Court pick,Reuters,2017-03-28T00:00:00Z
121465,180021,"Exclusive: As Democratic attorneys general target Trump, Republican AGs target them",Reuters,2017-03-28T00:00:00Z
121517,180119,More Democratic senators oppose Trump’s U.S. Supreme Court pick,Reuters,2017-04-01T00:00:00Z
121558,180230,Top Senate Democrat says unlikely Trump court pick can clear procedural hurdle,Reuters,2017-04-03T00:00:00Z
121593,180313,Democrats amass support to force showdown over Trump Supreme Court pick,Reuters,2017-04-03T00:00:00Z
121614,180350,House Democrats expect to see intelligence documents soon,Reuters,2017-04-05T00:00:00Z
121663,180431,Senator talks all night as Democrats fight Trump court nominee,Reuters,2017-04-06T00:00:00Z
121675,180460,"Senate goes ’nuclear,’ ends Democrats’ blockade of Trump court pick",Reuters,2017-04-07T00:00:00Z
121769,180654,"In Georgia, a Democrat’s ’Make Trump Furious’ campaign rattles Republicans",Reuters,2017-04-10T00:00:00Z
121789,180693,Democrats face uphill fight if Trump gets second U.S. high court pick,Reuters,2017-04-12T00:00:00Z
122081,181337,Trump pressures Democrats on Obamacare to get border wall deal,Reuters,2017-04-23T00:00:00Z
122112,181416,Democratic state attorneys general decry student loan rework by Republicans,Reuters,2017-04-24T00:00:00Z
122300,181791,"Democrats dig in, delay against Dodd-Frank overhaul",Reuters,2017-05-03T00:00:00Z
122427,182049,Democrats criticize Senate’s all-male healthcare group,Reuters,2017-05-07T00:00:00Z
122436,182062,U.S. Democratic senators seek probe into Icahn’s biofuel credit dealings,Reuters,2017-05-09T00:00:00Z
122600,182347,Democrats in U.S. Senate try to slow Republican deregulation,Reuters,2017-05-16T00:00:00Z
122632,182405,U.S. Democrats try to force vote on independent Russia probe,Reuters,2017-05-18T00:00:00Z
122640,182415,Democratic attorneys general seek to intervene in Obamacare case,Reuters,2017-05-18T00:00:00Z
122784,182717,"Illinois Senate Democrats pass budget plan, hurdles seen in House",Reuters,2017-05-23T00:00:00Z
123273,183777,"U.S. attorney general dodges Trump questions, angering Democrats",Reuters,2017-06-14T00:00:00Z
123331,183880,Trump nominates Democrat Rosenworcel to serve again as FCC commissioner,Reuters,2017-06-14T00:00:00Z
123440,184104,Democrats protest Senate Republican healthcare secrecy,Reuters,2017-06-20T00:00:00Z
123520,184228,Democrats look to future after dispiriting loss in Georgia election,Reuters,2017-06-22T00:00:00Z
123965,185114,Democrats urge Obama to end roundup of Central American migrants,Reuters,2016-01-08T00:00:00Z
124137,185393,Sanders lashes out at Clinton in contentious Democratic debate,Reuters,2016-01-18T00:00:00Z
124218,185524,Senate Democrats block Syria refugee bill ,Reuters,2016-01-20T00:00:00Z
124270,185596,Democrats to demand restructuring mechanism for Puerto Rico: letter,Reuters,2016-01-23T00:00:00Z
124317,185680,"Praising her experience, Obama boosts Clinton’s pitch to Democratic voters",Reuters,2016-01-26T00:00:00Z
124348,185719,Democratic presidential candidates get chance for seventh debate,Reuters,2016-01-27T00:00:00Z
124492,185934,Pennsylvania Democrats raise concerns over CP’s Norfolk Southern bid,Reuters,2016-02-01T00:00:00Z
125110,186891,Trump a ’monster’ spawned by Republicans: Senate Democratic leader,Reuters,2016-03-02T00:00:00Z
125191,187028,"Flint becomes U.S. Democratic flash point, but residents want action",Reuters,2016-03-07T00:00:00Z
125267,187137,Ohio’s ’dirty little secret’: blue-collar Democrats for Trump,Reuters,2016-03-12T00:00:00Z
125476,187460,Democrat Sanders outraised Clinton in February: report,Reuters,2016-03-21T00:00:00Z
125592,187638,"U.S. Democrat Bernie Sanders wins Alaska, Washington, Hawaii caucuses",Reuters,2016-03-27T00:00:00Z
125879,188078,"Obama says Trump, Cruz doing Democrats a ’favor’",Reuters,2016-04-09T00:00:00Z
125889,188107,U.S. Democrat Clinton downplays chance of contested convention,Reuters,2016-04-11T00:00:00Z
126448,188970,Republican Trump’s new finance chair previously donated to Democrats,Reuters,2016-05-05T00:00:00Z
126604,189216,White House defends deportations after Democratic complaints,Reuters,2016-05-17T00:00:00Z
126628,189247,Democrats chide Sanders after Nevada mutiny,Reuters,2016-05-19T00:00:00Z
126699,189353,Trump seizes on U.S. jobs report to target Democratic economic policies,Reuters,2016-06-03T00:00:00Z
126701,189355,Obama to Democrats: ’I want us to run scared’ in election,Reuters,2016-06-04T00:00:00Z
126743,189431,Obama is ’fired up’ for Clinton as Democrats seek to unify party,Reuters,2016-06-10T00:00:00Z
126895,189671,"Latest gun control bid falters in Congress, Democrat sit-in ends",Reuters,2016-06-24T00:00:00Z
126984,189792,U.S. House Republican gun bill draws the ire of Democrats,Reuters,2016-07-02T00:00:00Z
127077,189946,U.S. Democrats’ infighting over trade pact puts Clinton in middle,Reuters,2016-07-08T00:00:00Z
127191,190163,Exclusive: Clinton campaign also hacked in attacks on Democrats,Reuters,2016-07-31T00:00:00Z
127193,190165,Democratic fund-raising group for Congress candidates confirms hack,Reuters,2016-07-29T00:00:00Z
127194,190166,Clinton leads Trump by 6 points after Democratic confab: Reuters/Ipsos poll,Reuters,2016-07-31T00:00:00Z
127302,190321,Democrats fear hackers targeted tight Florida races for latest data leaks,Reuters,2016-08-19T00:00:00Z
127647,190904,FBI probes hacks targeting phones of Democratic Party officials: sources,Reuters,2016-09-28T00:00:00Z
