Column,id,title,publication,date
119318,175535,Rough start for U.S. Republicans on first day of Trump-era Congress,Reuters,2017-01-04T00:00:00Z
119340,175588,Republicans make repealing Obamacare ’first order of business’,Reuters,2017-01-05T00:00:00Z
119341,175589,"With one bill, Republicans fast track plan to undo Obama regulations",Reuters,2017-01-05T00:00:00Z
119414,175740,Ex-Republican Party head Barbour to lobby U.S. for Ukraine,Reuters,2017-01-06T00:00:00Z
119433,175805,Republican senators urge Trump to embrace findings on Russia hacking,Reuters,2017-01-08T00:00:00Z
119480,175914,Russia hacked Republican state campaigns but not Trump’s: FBI head,Reuters,2017-01-11T00:00:00Z
119547,176030,U.S. Republicans start framework for Obamacare replacement,Reuters,2017-01-13T00:00:00Z
119655,176278,Quarter of Republicans would keep Obamacare: Reuters/Ipsos poll,Reuters,2017-01-17T00:00:00Z
119828,176621,Republicans propose giving U.S. states option to keep Obamacare,Reuters,2017-01-24T00:00:00Z
119878,176728,Republicans lay out plans for Obamacare repeal,Reuters,2017-01-26T00:00:00Z
119910,176781,"Tensions simmer below surface as Trump, Republicans map strategy",Reuters,2017-01-28T00:00:00Z
119966,176931,Republicans take first steps to kill Obama-era regulations,Reuters,2017-01-31T00:00:00Z
120010,176998,U.S. House Republicans finalize list of rules to kill in Wednesday vote,Reuters,2017-02-01T00:00:00Z
120058,177080,Trump urges Republicans to ’go nuclear’ to defend high court pick,Reuters,2017-02-01T00:00:00Z
120063,177090,U.S. Republicans wrestle with effort to gut Obamacare,Reuters,2017-02-03T00:00:00Z
120257,177502,"Republican plan would ease Wall Street rules, as party embraces deregulation",Reuters,2017-02-10T00:00:00Z
120266,177518,Nine Republican senators urge Trump to pursue tough Russia policy,Reuters,2017-02-09T00:00:00Z
120282,177538,"Skepticism over Trump’s ’wall’ cost simmers among Democrats, border Republican",Reuters,2017-02-10T00:00:00Z
120389,177776,Republican senators start attack on U.S. consumer financial watchdog,Reuters,2017-02-15T00:00:00Z
120439,177866,"Trump, Republicans set timeframe for introducing Obamacare replacement",Reuters,2017-02-16T00:00:00Z
120456,177898,"In Trump legislative void, Republicans slow to tackle big issues",Reuters,2017-02-16T00:00:00Z
120585,178176,Republicans more concerned by leaks than Trump team Russian ties: Reuters/Ipsos poll,Reuters,2017-02-22T00:00:00Z
120586,178177,"Republicans battle over taxes in Kansas, other states",Reuters,2017-02-22T00:00:00Z
120604,178215,Exclusive: Trump says Republican border tax could boost U.S. jobs,Reuters,2017-02-24T00:00:00Z
120643,178281,"South Carolina Republican’s town hall starts rowdy, ends peaceably",Reuters,2017-02-26T00:00:00Z
120715,178440,Republicans lack agreement on Obamacare ahead of Trump speech,Reuters,2017-03-01T00:00:00Z
120747,178500,Trump gives nod to Republican tax-credit proposal on Obamacare,Reuters,2017-03-02T00:00:00Z
120914,178853,Industry questions higher insurance costs under Republican plan,Reuters,2017-03-08T00:00:00Z
120958,178941,"Republican U.S. health plan clears first hurdles, fate uncertain",Reuters,2017-03-10T00:00:00Z
121039,179109,Trump budget opens new fight among Republicans,Reuters,2017-03-13T00:00:00Z
121056,179163,Republican plan to repeal Obamacare would leave millions uninsured: report,Reuters,2017-03-14T00:00:00Z
121057,179165,Republican Obamacare repeal would benefit wealthiest: study,Reuters,2017-03-13T00:00:00Z
121119,179285,"Trump’s budget cuts to domestic, aid programs draw Republican scorn",Reuters,2017-03-17T00:00:00Z
121132,179308,"In challenge to Trump, 17 Republicans join fight against global warming",Reuters,2017-03-15T00:00:00Z
121145,179338,"Leading Republicans, Democrats reject Trump’s Obama wiretap assertion",Reuters,2017-03-17T00:00:00Z
121146,179339,"Republicans split, conservatives angry as healthcare overhaul inches ahead",Reuters,2017-03-17T00:00:00Z
121219,179503,"Republicans revamp U.S. health bill, boost benefits to older Americans",Reuters,2017-03-20T00:00:00Z
121239,179562,Trump’s Russian imbroglio prompts Republican rethink on surveillance law,Reuters,2017-03-20T00:00:00Z
121315,179710,Ex-head of Colorado Republicans charged with voter fraud,Reuters,2017-03-22T00:00:00Z
121327,179736,Republican Nunes apologizes over handling of Trump surveillance claim,Reuters,2017-03-24T00:00:00Z
121360,179789,Nearly half of Americans say Republican healthcare reform ’not an improvement’: Reuters/Ipsos poll,Reuters,2017-03-25T00:00:00Z
121361,179790,"With healthcare bill dead, Republicans turn to taxes",Reuters,2017-03-24T00:00:00Z
121378,179820,Powerful Texas Republican sees tough road for ’bathroom bill’,Reuters,2017-03-25T00:00:00Z
121415,179923,How Republicans can hobble Obamacare even without repeal,Reuters,2017-03-27T00:00:00Z
121457,180006,House Republicans reject bids to obtain Trump tax returns,Reuters,2017-03-28T00:00:00Z
121465,180021,"Exclusive: As Democratic attorneys general target Trump, Republican AGs target them",Reuters,2017-03-28T00:00:00Z
121489,180061,Exclusive: Republicans mostly blame Congress for healthcare reform failure - Reuters/Ipsos poll,Reuters,2017-03-30T00:00:00Z
121548,180188,Armenia’s ruling Republican party leads in parliament vote: exit poll,Reuters,2017-04-02T00:00:00Z
121570,180252,Trump talks healthcare with Republican critic on golf course,Reuters,2017-04-03T00:00:00Z
121608,180341,Window closing for Republican stealth assault on U.S. regulations,Reuters,2017-04-05T00:00:00Z
121609,180343,Senate Republican leader starts clock ticking to Gorsuch showdown,Reuters,2017-04-05T00:00:00Z
121631,180378,More talks but no decisions on Republican push to overhaul healthcare,Reuters,2017-04-05T00:00:00Z
121769,180654,"In Georgia, a Democrat’s ’Make Trump Furious’ campaign rattles Republicans",Reuters,2017-04-10T00:00:00Z
121842,180801,"At home, rebel Republican lawmakers pay no price for defying Trump",Reuters,2017-04-13T00:00:00Z
121939,181045,Republican vows ’all hands on deck’ in Georgia congressional runoff,Reuters,2017-04-20T00:00:00Z
121997,181148,"Exxon probe is unconstitutional, Republican prosecutors say",Reuters,2017-04-21T00:00:00Z
122112,181416,Democratic state attorneys general decry student loan rework by Republicans,Reuters,2017-04-24T00:00:00Z
122141,181476,Trump’s plan to slash business taxes seen as ’guidepost’ by congressional Republicans,Reuters,2017-04-27T00:00:00Z
122145,181481,Republicans take next step in U.S. deregulation with Senate bill,Reuters,2017-04-26T00:00:00Z
122287,181773,Trump struggles to win over moderate Republicans on healthcare overhaul,Reuters,2017-05-03T00:00:00Z
122351,181880,"House Republicans repeal Obamacare, hurdles await in U.S. Senate",Reuters,2017-05-04T00:00:00Z
122600,182347,Democrats in U.S. Senate try to slow Republican deregulation,Reuters,2017-05-16T00:00:00Z
122770,182690,Supreme Court tosses Republican-drawn North Carolina voting districts,Reuters,2017-05-22T00:00:00Z
122840,182812,Republican wins Montana special election despite assault charge,Reuters,2017-05-26T00:00:00Z
123008,183185,"Facing hometown anger, some Republican lawmakers split from Trump on key issues",Reuters,2017-06-03T00:00:00Z
123178,183540,Republicans take knife to post-crisis Wall Street reforms,Reuters,2017-06-08T00:00:00Z
123193,183574,Some Republican lawmakers urge Trump not to reverse Cuba opening,Reuters,2017-06-09T00:00:00Z
123206,183598,"White House, Congress Republicans nearing key tax overhaul decisions",Reuters,2017-06-09T00:00:00Z
123297,183827,"Trump hosts lunch with Republican senators, Obamacare repeal on menu",Reuters,2017-06-13T00:00:00Z
123365,183930,U.S. states could not set self-driving car rules under Republican plan,Reuters,2017-06-15T00:00:00Z
123433,184082,Republicans debating remedies for corporate tax avoidance,Reuters,2017-06-18T00:00:00Z
123440,184104,Democrats protest Senate Republican healthcare secrecy,Reuters,2017-06-20T00:00:00Z
123471,184157,Republican avoids upset in costly Georgia congressional race,Reuters,2017-06-21T00:00:00Z
123522,184232,Most Americans say Republican healthcare plan will be harmful: Reuters/Ipsos poll,Reuters,2017-06-21T00:00:00Z
123534,184267,"Senate Republicans unveil Obamacare replacement bill, but fate uncertain",Reuters,2017-06-23T00:00:00Z
123624,184489,Republican healthcare bill imperiled with 22 million seen losing insurance,Reuters,2017-06-27T00:00:00Z
123653,184546,"Facing revolt on healthcare bill, U.S. Senate Republicans delay vote",Reuters,2017-06-28T00:00:00Z
123667,184571,Republican tax code revamp hits House budget obstacle,Reuters,2017-06-27T00:00:00Z
123683,184609,"Trump to Senate Republicans: kill Obamacare now, replace later",Reuters,2017-07-01T00:00:00Z
123699,184629,Moderate Republicans warn of trouble for tax reform,Reuters,2017-06-30T00:00:00Z
123803,184840,"Republican Ben Carson’s campaign manager, 20 staff quit",Reuters,2015-12-31T00:00:00Z
123831,184890,"Republican Carson’s campaign manager, 20 staff quit",Reuters,2016-01-01T00:00:00Z
